vendor,analysis_id,modelled_lob,modelled_peril,ep_type,return_period,loss
risklink,1,HIC_COMM_UK,EU FL HD,AAL,0,8.0
risklink,1,HIC_COMM_UK,EU FL HD,AEP,1000,54.0
risklink,1,HIC_COMM_UK,EU FL HD,AEP,10000,11376.0
risklink,1,HIC_COMM_UK,EU FL HD,OEP,2,5.0
risklink,1,HIC_COMM_UK,EU FL HD,OEP,5,5.0
risklink,1,HIC_COMM_UK,EU FL HD,OEP,10,5.0
risklink,1,HIC_COMM_UK,EU FL HD,OEP,20,5.0
risklink,1,HIC_COMM_UK,EU FL HD,OEP,25,5.0
risklink,1,HIC_COMM_UK,EU FL HD,OEP,50,5.0
risklink,1,HIC_COMM_UK,EU FL HD,OEP,100,5.0
risklink,1,HIC_COMM_UK,EU FL HD,OEP,200,5.0
risklink,1,HIC_COMM_UK,EU FL HD,OEP,250,5.0
risklink,1,HIC_COMM_UK,EU FL HD,OEP,500,5.0
risklink,1,HIC_COMM_UK,EU FL HD,OEP,1000,54.0
risklink,1,HIC_COMM_UK,EU FL HD,OEP,10000,8498.0
risklink,367,HIC_COMM_UK,EUxESGB EQ,AAL,0,16.0
risklink,367,HIC_COMM_UK,EUxESGB EQ,AEP,500,2.0
risklink,367,HIC_COMM_UK,EUxESGB EQ,AEP,1000,591.0
risklink,367,HIC_COMM_UK,EUxESGB EQ,AEP,10000,43649.0
risklink,367,HIC_COMM_UK,EUxESGB EQ,OEP,500,0.0
risklink,367,HIC_COMM_UK,EUxESGB EQ,OEP,1000,591.0
risklink,367,HIC_COMM_UK,EUxESGB EQ,OEP,10000,43634.0
risklink,2,HIC_COMM_UK,EUxESGB EQ Adj,AAL,0,9.0
risklink,2,HIC_COMM_UK,EUxESGB EQ Adj,AEP,1000,3.0
risklink,2,HIC_COMM_UK,EUxESGB EQ Adj,AEP,10000,26288.0
risklink,2,HIC_COMM_UK,EUxESGB EQ Adj,OEP,1000,3.0
risklink,2,HIC_COMM_UK,EUxESGB EQ Adj,OEP,10000,26285.0
risklink,49,HIC_COMM_UK,EUxGB WS,AAL,0,9.0
risklink,49,HIC_COMM_UK,EUxGB WS,AEP,2,0.0
risklink,49,HIC_COMM_UK,EUxGB WS,AEP,5,0.0
risklink,49,HIC_COMM_UK,EUxGB WS,AEP,10,0.0
risklink,49,HIC_COMM_UK,EUxGB WS,AEP,20,2.0
risklink,49,HIC_COMM_UK,EUxGB WS,AEP,25,9.0
risklink,49,HIC_COMM_UK,EUxGB WS,AEP,50,74.0
risklink,49,HIC_COMM_UK,EUxGB WS,AEP,100,220.0
risklink,49,HIC_COMM_UK,EUxGB WS,AEP,200,445.0
risklink,49,HIC_COMM_UK,EUxGB WS,AEP,250,535.0
risklink,49,HIC_COMM_UK,EUxGB WS,AEP,500,875.0
risklink,49,HIC_COMM_UK,EUxGB WS,AEP,1000,1322.0
risklink,49,HIC_COMM_UK,EUxGB WS,AEP,10000,3643.0
risklink,49,HIC_COMM_UK,EUxGB WS,OEP,2,0.0
