vendor,analysis_id,modelled_lob,modelled_peril,ep_type,return_period,loss
verisk,EU_EQ,HIG_FA_GU,EU_EQ,AAL,0,188336.549522532
verisk,EU_EQ,HIG_FA_GU,EU_EQ,AEP,2,7191.62164674157
verisk,EU_EQ,HIG_FA_GU,EU_EQ,AEP,5,148255.459036973
verisk,EU_EQ,HIG_FA_GU,EU_EQ,AEP,10,419737.726526562
verisk,EU_EQ,HIG_FA_GU,EU_EQ,AEP,20,811996.403352455
verisk,EU_EQ,HIG_FA_GU,EU_EQ,AEP,25,971275.35591286
verisk,EU_EQ,HIG_FA_GU,EU_EQ,AEP,50,1750471.72149922
verisk,EU_EQ,HIG_FA_GU,EU_EQ,AEP,100,2909189.46663808
verisk,EU_EQ,HIG_FA_GU,EU_EQ,AEP,200,4415821.06662846
verisk,EU_EQ,HIG_FA_GU,EU_EQ,AEP,250,5626248.37802983
verisk,EU_EQ,HIG_FA_GU,EU_EQ,AEP,500,9044953.35097089
verisk,EU_EQ,HIG_FA_GU,EU_EQ,AEP,1000,12535222.3086641
verisk,EU_EQ,HIG_FA_GU,EU_EQ,OEP,2,6091.66012524822
verisk,EU_EQ,HIG_FA_GU,EU_EQ,OEP,5,135068.186314046
verisk,EU_EQ,HIG_FA_GU,EU_EQ,OEP,10,374875.339625042
verisk,EU_EQ,HIG_FA_GU,EU_EQ,OEP,20,751192.564584803
verisk,EU_EQ,HIG_FA_GU,EU_EQ,OEP,25,879721.012101191
verisk,EU_EQ,HIG_FA_GU,EU_EQ,OEP,50,1624383.51115368
verisk,EU_EQ,HIG_FA_GU,EU_EQ,OEP,100,2870904.06248882
verisk,EU_EQ,HIG_FA_GU,EU_EQ,OEP,200,4333450.78568373
verisk,EU_EQ,HIG_FA_GU,EU_EQ,OEP,250,5521869.18798053
verisk,EU_EQ,HIG_FA_GU,EU_EQ,OEP,500,9044953.35097089
verisk,EU_EQ,HIG_FA_GU,EU_EQ,OEP,1000,12523385.7947366
verisk,EU_EQ,HSA_FA_EU_BE,EU_EQ,AAL,0,63661.3907194744
verisk,EU_EQ,HSA_FA_EU_BE,EU_EQ,AEP,2,0.0
verisk,EU_EQ,HSA_FA_EU_BE,EU_EQ,AEP,5,319.764919678916
verisk,EU_EQ,HSA_FA_EU_BE,EU_EQ,AEP,10,2427.38377060056
verisk,EU_EQ,HSA_FA_EU_BE,EU_EQ,AEP,20,27825.2431615878
verisk,EU_EQ,HSA_FA_EU_BE,EU_EQ,AEP,25,53884.5869768097
verisk,EU_EQ,HSA_FA_EU_BE,EU_EQ,AEP,50,217965.976013791
verisk,EU_EQ,HSA_FA_EU_BE,EU_EQ,AEP,100,580046.045273951
verisk,EU_EQ,HSA_FA_EU_BE,EU_EQ,AEP,200,1731697.99369445
verisk,EU_EQ,HSA_FA_EU_BE,EU_EQ,AEP,250,2352003.96026836
verisk,EU_EQ,HSA_FA_EU_BE,EU_EQ,AEP,500,5290724.6368553
verisk,EU_EQ,HSA_FA_EU_BE,EU_EQ,AEP,1000,11027628.9481005
verisk,EU_EQ,HSA_FA_EU_BE,EU_EQ,OEP,2,0.0
verisk,EU_EQ,HSA_FA_EU_BE,EU_EQ,OEP,5,318.982526616178
verisk,EU_EQ,HSA_FA_EU_BE,EU_EQ,OEP,10,2312.17967993879
verisk,EU_EQ,HSA_FA_EU_BE,EU_EQ,OEP,20,27132.3895727107
verisk,EU_EQ,HSA_FA_EU_BE,EU_EQ,OEP,25,53514.7497971219
verisk,EU_EQ,HSA_FA_EU_BE,EU_EQ,OEP,50,212688.353034247
verisk,EU_EQ,HSA_FA_EU_BE,EU_EQ,OEP,100,571279.84271775
verisk,EU_EQ,HSA_FA_EU_BE,EU_EQ,OEP,200,1701477.45306397
verisk,EU_EQ,HSA_FA_EU_BE,EU_EQ,OEP,250,2293771.41941353
verisk,EU_EQ,HSA_FA_EU_BE,EU_EQ,OEP,500,5290724.6368553
verisk,EU_EQ,HSA_FA_EU_BE,EU_EQ,OEP,1000,11027628.9481005
verisk,EU_EQ,HSA_FA_EU_DE,EU_EQ,AAL,0,50662.586156128
verisk,EU_EQ,HSA_FA_EU_DE,EU_EQ,AEP,2,0.0
verisk,EU_EQ,HSA_FA_EU_DE,EU_EQ,AEP,5,2414.20268072486
verisk,EU_EQ,HSA_FA_EU_DE,EU_EQ,AEP,10,20778.3048372582
verisk,EU_EQ,HSA_FA_EU_DE,EU_EQ,AEP,20,81094.5566110276
verisk,EU_EQ,HSA_FA_EU_DE,EU_EQ,AEP,25,116044.370549008
verisk,EU_EQ,HSA_FA_EU_DE,EU_EQ,AEP,50,379024.458549967
verisk,EU_EQ,HSA_FA_EU_DE,EU_EQ,AEP,100,1064783.10309551
verisk,EU_EQ,HSA_FA_EU_DE,EU_EQ,AEP,200,2003318.20047901
verisk,EU_EQ,HSA_FA_EU_DE,EU_EQ,AEP,250,2492457.88222415
verisk,EU_EQ,HSA_FA_EU_DE,EU_EQ,AEP,500,4290991.12274391
verisk,EU_EQ,HSA_FA_EU_DE,EU_EQ,AEP,1000,7164410.26231651
verisk,EU_EQ,HSA_FA_EU_DE,EU_EQ,OEP,2,0.0
verisk,EU_EQ,HSA_FA_EU_DE,EU_EQ,OEP,5,2318.1451140519
verisk,EU_EQ,HSA_FA_EU_DE,EU_EQ,OEP,10,19660.0828506897
verisk,EU_EQ,HSA_FA_EU_DE,EU_EQ,OEP,20,77904.51794046
verisk,EU_EQ,HSA_FA_EU_DE,EU_EQ,OEP,25,111259.710966435
verisk,EU_EQ,HSA_FA_EU_DE,EU_EQ,OEP,50,376030.614658115
verisk,EU_EQ,HSA_FA_EU_DE,EU_EQ,OEP,100,1062724.30263857
verisk,EU_EQ,HSA_FA_EU_DE,EU_EQ,OEP,200,1908763.27886629
verisk,EU_EQ,HSA_FA_EU_DE,EU_EQ,OEP,250,2351889.56964544
verisk,EU_EQ,HSA_FA_EU_DE,EU_EQ,OEP,500,4133522.36443581
verisk,EU_EQ,HSA_FA_EU_DE,EU_EQ,OEP,1000,7164410.26231651
verisk,EU_EQ,HSA_FA_EU_ES,EU_EQ,AAL,0,504.044352115243
verisk,EU_EQ,HSA_FA_EU_ES,EU_EQ,AEP,2,0.0
verisk,EU_EQ,HSA_FA_EU_ES,EU_EQ,AEP,5,0.0
verisk,EU_EQ,HSA_FA_EU_ES,EU_EQ,AEP,10,0.0
verisk,EU_EQ,HSA_FA_EU_ES,EU_EQ,AEP,20,0.0
verisk,EU_EQ,HSA_FA_EU_ES,EU_EQ,AEP,25,0.0
verisk,EU_EQ,HSA_FA_EU_ES,EU_EQ,AEP,50,156.461926130544
verisk,EU_EQ,HSA_FA_EU_ES,EU_EQ,AEP,100,6894.21375833844
verisk,EU_EQ,HSA_FA_EU_ES,EU_EQ,AEP,200,22100.0148182938
verisk,EU_EQ,HSA_FA_EU_ES,EU_EQ,AEP,250,27990.0742456138
verisk,EU_EQ,HSA_FA_EU_ES,EU_EQ,AEP,500,64361.449294623
verisk,EU_EQ,HSA_FA_EU_ES,EU_EQ,AEP,1000,136849.397857837
verisk,EU_EQ,HSA_FA_EU_ES,EU_EQ,OEP,2,0.0
verisk,EU_EQ,HSA_FA_EU_ES,EU_EQ,OEP,5,0.0
verisk,EU_EQ,HSA_FA_EU_ES,EU_EQ,OEP,10,0.0
verisk,EU_EQ,HSA_FA_EU_ES,EU_EQ,OEP,20,0.0
verisk,EU_EQ,HSA_FA_EU_ES,EU_EQ,OEP,25,0.0
verisk,EU_EQ,HSA_FA_EU_ES,EU_EQ,OEP,50,156.461926130544
verisk,EU_EQ,HSA_FA_EU_ES,EU_EQ,OEP,100,6894.21375833844
verisk,EU_EQ,HSA_FA_EU_ES,EU_EQ,OEP,200,22100.0148182938
verisk,EU_EQ,HSA_FA_EU_ES,EU_EQ,OEP,250,27990.0742456138
verisk,EU_EQ,HSA_FA_EU_ES,EU_EQ,OEP,500,64361.449294623
verisk,EU_EQ,HSA_FA_EU_ES,EU_EQ,OEP,1000,136849.397857837
verisk,EU_EQ,HSA_FA_EU_FR,EU_EQ,AAL,0,127698.562148507
verisk,EU_EQ,HSA_FA_EU_FR,EU_EQ,AEP,2,0.0
verisk,EU_EQ,HSA_FA_EU_FR,EU_EQ,AEP,5,20865.6846908253
verisk,EU_EQ,HSA_FA_EU_FR,EU_EQ,AEP,10,108271.306093664
verisk,EU_EQ,HSA_FA_EU_FR,EU_EQ,AEP,20,297508.643278739
verisk,EU_EQ,HSA_FA_EU_FR,EU_EQ,AEP,25,388300.166129961
verisk,EU_EQ,HSA_FA_EU_FR,EU_EQ,AEP,50,894738.310273333
verisk,EU_EQ,HSA_FA_EU_FR,EU_EQ,AEP,100,1765684.29439468
verisk,EU_EQ,HSA_FA_EU_FR,EU_EQ,AEP,200,3713727.5478764
verisk,EU_EQ,HSA_FA_EU_FR,EU_EQ,AEP,250,5301682.33163836
verisk,EU_EQ,HSA_FA_EU_FR,EU_EQ,AEP,500,9686927.2310482
verisk,EU_EQ,HSA_FA_EU_FR,EU_EQ,AEP,1000,16640605.2192627
verisk,EU_EQ,HSA_FA_EU_FR,EU_EQ,OEP,2,0.0
verisk,EU_EQ,HSA_FA_EU_FR,EU_EQ,OEP,5,20362.2029382604
verisk,EU_EQ,HSA_FA_EU_FR,EU_EQ,OEP,10,102840.724637314
verisk,EU_EQ,HSA_FA_EU_FR,EU_EQ,OEP,20,282215.432871611
verisk,EU_EQ,HSA_FA_EU_FR,EU_EQ,OEP,25,374163.795509558
verisk,EU_EQ,HSA_FA_EU_FR,EU_EQ,OEP,50,858670.373942878
verisk,EU_EQ,HSA_FA_EU_FR,EU_EQ,OEP,100,1744812.73074496
verisk,EU_EQ,HSA_FA_EU_FR,EU_EQ,OEP,200,3713727.5478764
verisk,EU_EQ,HSA_FA_EU_FR,EU_EQ,OEP,250,4850880.17337021
verisk,EU_EQ,HSA_FA_EU_FR,EU_EQ,OEP,500,9686927.2310482
verisk,EU_EQ,HSA_FA_EU_FR,EU_EQ,OEP,1000,16534273.0176859
verisk,EU_EQ,HSA_FA_EU_IE,EU_EQ,AAL,0,1842.40573866921
verisk,EU_EQ,HSA_FA_EU_IE,EU_EQ,AEP,2,0.0
verisk,EU_EQ,HSA_FA_EU_IE,EU_EQ,AEP,5,0.0
verisk,EU_EQ,HSA_FA_EU_IE,EU_EQ,AEP,10,1762.71236563543
verisk,EU_EQ,HSA_FA_EU_IE,EU_EQ,AEP,20,6521.8750043804
verisk,EU_EQ,HSA_FA_EU_IE,EU_EQ,AEP,25,7892.72138298157
verisk,EU_EQ,HSA_FA_EU_IE,EU_EQ,AEP,50,16064.9476603751
verisk,EU_EQ,HSA_FA_EU_IE,EU_EQ,AEP,100,29011.5807191151
verisk,EU_EQ,HSA_FA_EU_IE,EU_EQ,AEP,200,62704.1115884376
verisk,EU_EQ,HSA_FA_EU_IE,EU_EQ,AEP,250,76950.9668905326
verisk,EU_EQ,HSA_FA_EU_IE,EU_EQ,AEP,500,127578.64128125
verisk,EU_EQ,HSA_FA_EU_IE,EU_EQ,AEP,1000,187376.360582932
verisk,EU_EQ,HSA_FA_EU_IE,EU_EQ,OEP,2,0.0
verisk,EU_EQ,HSA_FA_EU_IE,EU_EQ,OEP,5,0.0
verisk,EU_EQ,HSA_FA_EU_IE,EU_EQ,OEP,10,1753.01113502483
verisk,EU_EQ,HSA_FA_EU_IE,EU_EQ,OEP,20,6170.58853726773
verisk,EU_EQ,HSA_FA_EU_IE,EU_EQ,OEP,25,7708.85528490304
verisk,EU_EQ,HSA_FA_EU_IE,EU_EQ,OEP,50,15309.4631660162
verisk,EU_EQ,HSA_FA_EU_IE,EU_EQ,OEP,100,28682.0015958062
verisk,EU_EQ,HSA_FA_EU_IE,EU_EQ,OEP,200,62704.1115884376
verisk,EU_EQ,HSA_FA_EU_IE,EU_EQ,OEP,250,74484.3743047036
verisk,EU_EQ,HSA_FA_EU_IE,EU_EQ,OEP,500,127578.64128125
verisk,EU_EQ,HSA_FA_EU_IE,EU_EQ,OEP,1000,181302.911498855
verisk,EU_EQ,HSA_FA_EU_NL,EU_EQ,AAL,0,15389.9735178271
verisk,EU_EQ,HSA_FA_EU_NL,EU_EQ,AEP,2,0.0
verisk,EU_EQ,HSA_FA_EU_NL,EU_EQ,AEP,5,0.0
verisk,EU_EQ,HSA_FA_EU_NL,EU_EQ,AEP,10,0.0
verisk,EU_EQ,HSA_FA_EU_NL,EU_EQ,AEP,20,1017.1865360617
verisk,EU_EQ,HSA_FA_EU_NL,EU_EQ,AEP,25,4007.54748606954
verisk,EU_EQ,HSA_FA_EU_NL,EU_EQ,AEP,50,90747.8338423966
verisk,EU_EQ,HSA_FA_EU_NL,EU_EQ,AEP,100,239731.321627452
verisk,EU_EQ,HSA_FA_EU_NL,EU_EQ,AEP,200,621961.4117806
verisk,EU_EQ,HSA_FA_EU_NL,EU_EQ,AEP,250,749566.54044972
verisk,EU_EQ,HSA_FA_EU_NL,EU_EQ,AEP,500,1212077.42073452
verisk,EU_EQ,HSA_FA_EU_NL,EU_EQ,AEP,1000,2584947.86354081
verisk,EU_EQ,HSA_FA_EU_NL,EU_EQ,OEP,2,0.0
verisk,EU_EQ,HSA_FA_EU_NL,EU_EQ,OEP,5,0.0
verisk,EU_EQ,HSA_FA_EU_NL,EU_EQ,OEP,10,0.0
verisk,EU_EQ,HSA_FA_EU_NL,EU_EQ,OEP,20,1009.34488228528
verisk,EU_EQ,HSA_FA_EU_NL,EU_EQ,OEP,25,3841.48948754382
verisk,EU_EQ,HSA_FA_EU_NL,EU_EQ,OEP,50,90747.8338423966
verisk,EU_EQ,HSA_FA_EU_NL,EU_EQ,OEP,100,235999.852558425
verisk,EU_EQ,HSA_FA_EU_NL,EU_EQ,OEP,200,621961.4117806
verisk,EU_EQ,HSA_FA_EU_NL,EU_EQ,OEP,250,749566.54044972
verisk,EU_EQ,HSA_FA_EU_NL,EU_EQ,OEP,500,1212077.42073452
verisk,EU_EQ,HSA_FA_EU_NL,EU_EQ,OEP,1000,2584947.86354081
verisk,EU_EQ,HSA_FA_EU_PT,EU_EQ,AAL,0,68089.3385489563
verisk,EU_EQ,HSA_FA_EU_PT,EU_EQ,AEP,2,0.0
verisk,EU_EQ,HSA_FA_EU_PT,EU_EQ,AEP,5,0.0
verisk,EU_EQ,HSA_FA_EU_PT,EU_EQ,AEP,10,114.669830841764
verisk,EU_EQ,HSA_FA_EU_PT,EU_EQ,AEP,20,3069.89732758902
verisk,EU_EQ,HSA_FA_EU_PT,EU_EQ,AEP,25,5820.76056336248
verisk,EU_EQ,HSA_FA_EU_PT,EU_EQ,AEP,50,42343.9871798124
verisk,EU_EQ,HSA_FA_EU_PT,EU_EQ,AEP,100,276130.838417146
verisk,EU_EQ,HSA_FA_EU_PT,EU_EQ,AEP,200,1604010.54815423
verisk,EU_EQ,HSA_FA_EU_PT,EU_EQ,AEP,250,2406473.62756622
verisk,EU_EQ,HSA_FA_EU_PT,EU_EQ,AEP,500,6384408.75378302
verisk,EU_EQ,HSA_FA_EU_PT,EU_EQ,AEP,1000,21796701.8002264
verisk,EU_EQ,HSA_FA_EU_PT,EU_EQ,OEP,2,0.0
verisk,EU_EQ,HSA_FA_EU_PT,EU_EQ,OEP,5,0.0
verisk,EU_EQ,HSA_FA_EU_PT,EU_EQ,OEP,10,114.669830841764
verisk,EU_EQ,HSA_FA_EU_PT,EU_EQ,OEP,20,3066.12002580754
verisk,EU_EQ,HSA_FA_EU_PT,EU_EQ,OEP,25,5618.63291423692
verisk,EU_EQ,HSA_FA_EU_PT,EU_EQ,OEP,50,42343.9871798124
verisk,EU_EQ,HSA_FA_EU_PT,EU_EQ,OEP,100,276130.838417146
verisk,EU_EQ,HSA_FA_EU_PT,EU_EQ,OEP,200,1604010.54815423
verisk,EU_EQ,HSA_FA_EU_PT,EU_EQ,OEP,250,2406473.62756622
verisk,EU_EQ,HSA_FA_EU_PT,EU_EQ,OEP,500,6384408.75378302
verisk,EU_EQ,HSA_FA_EU_PT,EU_EQ,OEP,1000,21796701.8002264
verisk,EU_EQ,HSA_FA_UK,EU_EQ,AAL,0,200.407389711544
verisk,EU_EQ,HSA_FA_UK,EU_EQ,AEP,2,0.0
verisk,EU_EQ,HSA_FA_UK,EU_EQ,AEP,5,0.0
verisk,EU_EQ,HSA_FA_UK,EU_EQ,AEP,10,0.0
verisk,EU_EQ,HSA_FA_UK,EU_EQ,AEP,20,0.0
verisk,EU_EQ,HSA_FA_UK,EU_EQ,AEP,25,0.0
verisk,EU_EQ,HSA_FA_UK,EU_EQ,AEP,50,672.646237873856
verisk,EU_EQ,HSA_FA_UK,EU_EQ,AEP,100,4105.19157421197
verisk,EU_EQ,HSA_FA_UK,EU_EQ,AEP,200,9028.24264471549
verisk,EU_EQ,HSA_FA_UK,EU_EQ,AEP,250,10581.1295333344
verisk,EU_EQ,HSA_FA_UK,EU_EQ,AEP,500,21660.2963038971
verisk,EU_EQ,HSA_FA_UK,EU_EQ,AEP,1000,44032.4672344793
verisk,EU_EQ,HSA_FA_UK,EU_EQ,OEP,2,0.0
verisk,EU_EQ,HSA_FA_UK,EU_EQ,OEP,5,0.0
verisk,EU_EQ,HSA_FA_UK,EU_EQ,OEP,10,0.0
verisk,EU_EQ,HSA_FA_UK,EU_EQ,OEP,20,0.0
verisk,EU_EQ,HSA_FA_UK,EU_EQ,OEP,25,0.0
verisk,EU_EQ,HSA_FA_UK,EU_EQ,OEP,50,668.42645835438
verisk,EU_EQ,HSA_FA_UK,EU_EQ,OEP,100,4026.2657834621
verisk,EU_EQ,HSA_FA_UK,EU_EQ,OEP,200,8760.37421040278
verisk,EU_EQ,HSA_FA_UK,EU_EQ,OEP,250,10581.1295333344
verisk,EU_EQ,HSA_FA_UK,EU_EQ,OEP,500,21660.2963038971
verisk,EU_EQ,HSA_FA_UK,EU_EQ,OEP,1000,32745.8559230787
verisk,EU_EQ,S33_FA_EU_BE,EU_EQ,AAL,0,9563.61806213118
verisk,EU_EQ,S33_FA_EU_BE,EU_EQ,AEP,2,0.0
verisk,EU_EQ,S33_FA_EU_BE,EU_EQ,AEP,5,0.0
verisk,EU_EQ,S33_FA_EU_BE,EU_EQ,AEP,10,0.0
verisk,EU_EQ,S33_FA_EU_BE,EU_EQ,AEP,20,12944.8123514998
verisk,EU_EQ,S33_FA_EU_BE,EU_EQ,AEP,25,26346.05165513
verisk,EU_EQ,S33_FA_EU_BE,EU_EQ,AEP,50,79222.3741581343
verisk,EU_EQ,S33_FA_EU_BE,EU_EQ,AEP,100,198361.973469775
verisk,EU_EQ,S33_FA_EU_BE,EU_EQ,AEP,200,410720.66064068
verisk,EU_EQ,S33_FA_EU_BE,EU_EQ,AEP,250,494447.973934338
verisk,EU_EQ,S33_FA_EU_BE,EU_EQ,AEP,500,893880.355536164
verisk,EU_EQ,S33_FA_EU_BE,EU_EQ,AEP,1000,1586385.80577021
verisk,EU_EQ,S33_FA_EU_BE,EU_EQ,OEP,2,0.0
verisk,EU_EQ,S33_FA_EU_BE,EU_EQ,OEP,5,0.0
verisk,EU_EQ,S33_FA_EU_BE,EU_EQ,OEP,10,0.0
verisk,EU_EQ,S33_FA_EU_BE,EU_EQ,OEP,20,12944.8123514998
verisk,EU_EQ,S33_FA_EU_BE,EU_EQ,OEP,25,26262.495095946
verisk,EU_EQ,S33_FA_EU_BE,EU_EQ,OEP,50,79222.3741581343
verisk,EU_EQ,S33_FA_EU_BE,EU_EQ,OEP,100,198361.973469775
verisk,EU_EQ,S33_FA_EU_BE,EU_EQ,OEP,200,410720.66064068
verisk,EU_EQ,S33_FA_EU_BE,EU_EQ,OEP,250,494447.973934338
verisk,EU_EQ,S33_FA_EU_BE,EU_EQ,OEP,500,893880.355536164
verisk,EU_EQ,S33_FA_EU_BE,EU_EQ,OEP,1000,1586385.80577021
verisk,EU_EQ,S33_FA_EU_DE,EU_EQ,AAL,0,3315.81528960502
verisk,EU_EQ,S33_FA_EU_DE,EU_EQ,AEP,2,0.0
verisk,EU_EQ,S33_FA_EU_DE,EU_EQ,AEP,5,0.0
verisk,EU_EQ,S33_FA_EU_DE,EU_EQ,AEP,10,0.0
verisk,EU_EQ,S33_FA_EU_DE,EU_EQ,AEP,20,290.256683850761
verisk,EU_EQ,S33_FA_EU_DE,EU_EQ,AEP,25,1503.2840785065
verisk,EU_EQ,S33_FA_EU_DE,EU_EQ,AEP,50,28284.8713585693
verisk,EU_EQ,S33_FA_EU_DE,EU_EQ,AEP,100,74395.7563107867
verisk,EU_EQ,S33_FA_EU_DE,EU_EQ,AEP,200,144252.918263033
verisk,EU_EQ,S33_FA_EU_DE,EU_EQ,AEP,250,188231.560499765
verisk,EU_EQ,S33_FA_EU_DE,EU_EQ,AEP,500,356797.689716872
verisk,EU_EQ,S33_FA_EU_DE,EU_EQ,AEP,1000,489591.246069717
verisk,EU_EQ,S33_FA_EU_DE,EU_EQ,OEP,2,0.0
verisk,EU_EQ,S33_FA_EU_DE,EU_EQ,OEP,5,0.0
verisk,EU_EQ,S33_FA_EU_DE,EU_EQ,OEP,10,0.0
verisk,EU_EQ,S33_FA_EU_DE,EU_EQ,OEP,20,290.256683850761
verisk,EU_EQ,S33_FA_EU_DE,EU_EQ,OEP,25,1503.2840785065
verisk,EU_EQ,S33_FA_EU_DE,EU_EQ,OEP,50,28284.8713585693
verisk,EU_EQ,S33_FA_EU_DE,EU_EQ,OEP,100,74395.7563107867
verisk,EU_EQ,S33_FA_EU_DE,EU_EQ,OEP,200,144252.918263033
verisk,EU_EQ,S33_FA_EU_DE,EU_EQ,OEP,250,187371.885433257
verisk,EU_EQ,S33_FA_EU_DE,EU_EQ,OEP,500,356797.689716872
verisk,EU_EQ,S33_FA_EU_DE,EU_EQ,OEP,1000,489591.246069717
verisk,EU_EQ,S33_FA_EU_ES,EU_EQ,AAL,0,323.944505989062
verisk,EU_EQ,S33_FA_EU_ES,EU_EQ,AEP,2,0.0
verisk,EU_EQ,S33_FA_EU_ES,EU_EQ,AEP,5,0.0
verisk,EU_EQ,S33_FA_EU_ES,EU_EQ,AEP,10,0.0
verisk,EU_EQ,S33_FA_EU_ES,EU_EQ,AEP,20,0.0
verisk,EU_EQ,S33_FA_EU_ES,EU_EQ,AEP,25,0.0
verisk,EU_EQ,S33_FA_EU_ES,EU_EQ,AEP,50,0.0
verisk,EU_EQ,S33_FA_EU_ES,EU_EQ,AEP,100,3939.87172722134
verisk,EU_EQ,S33_FA_EU_ES,EU_EQ,AEP,200,11828.2162728795
verisk,EU_EQ,S33_FA_EU_ES,EU_EQ,AEP,250,17018.5910405638
verisk,EU_EQ,S33_FA_EU_ES,EU_EQ,AEP,500,28381.9582490414
verisk,EU_EQ,S33_FA_EU_ES,EU_EQ,AEP,1000,99634.4185516255
verisk,EU_EQ,S33_FA_EU_ES,EU_EQ,OEP,2,0.0
verisk,EU_EQ,S33_FA_EU_ES,EU_EQ,OEP,5,0.0
verisk,EU_EQ,S33_FA_EU_ES,EU_EQ,OEP,10,0.0
verisk,EU_EQ,S33_FA_EU_ES,EU_EQ,OEP,20,0.0
verisk,EU_EQ,S33_FA_EU_ES,EU_EQ,OEP,25,0.0
verisk,EU_EQ,S33_FA_EU_ES,EU_EQ,OEP,50,0.0
verisk,EU_EQ,S33_FA_EU_ES,EU_EQ,OEP,100,3939.87172722134
verisk,EU_EQ,S33_FA_EU_ES,EU_EQ,OEP,200,11828.2162728795
verisk,EU_EQ,S33_FA_EU_ES,EU_EQ,OEP,250,17018.5910405638
verisk,EU_EQ,S33_FA_EU_ES,EU_EQ,OEP,500,28381.9582490414
verisk,EU_EQ,S33_FA_EU_ES,EU_EQ,OEP,1000,99634.4185516255
verisk,EU_EQ,S33_FA_EU_FR,EU_EQ,AAL,0,26654.1801273565
verisk,EU_EQ,S33_FA_EU_FR,EU_EQ,AEP,2,0.0
verisk,EU_EQ,S33_FA_EU_FR,EU_EQ,AEP,5,0.0
verisk,EU_EQ,S33_FA_EU_FR,EU_EQ,AEP,10,0.0
verisk,EU_EQ,S33_FA_EU_FR,EU_EQ,AEP,20,10799.5579195779
verisk,EU_EQ,S33_FA_EU_FR,EU_EQ,AEP,25,37565.8265288491
verisk,EU_EQ,S33_FA_EU_FR,EU_EQ,AEP,50,255840.533188492
verisk,EU_EQ,S33_FA_EU_FR,EU_EQ,AEP,100,610008.265491548
verisk,EU_EQ,S33_FA_EU_FR,EU_EQ,AEP,200,1086625.45553912
verisk,EU_EQ,S33_FA_EU_FR,EU_EQ,AEP,250,1351906.87255257
verisk,EU_EQ,S33_FA_EU_FR,EU_EQ,AEP,500,2522288.98964553
verisk,EU_EQ,S33_FA_EU_FR,EU_EQ,AEP,1000,5244114.35389817
verisk,EU_EQ,S33_FA_EU_FR,EU_EQ,OEP,2,0.0
verisk,EU_EQ,S33_FA_EU_FR,EU_EQ,OEP,5,0.0
verisk,EU_EQ,S33_FA_EU_FR,EU_EQ,OEP,10,0.0
verisk,EU_EQ,S33_FA_EU_FR,EU_EQ,OEP,20,10799.5579195779
verisk,EU_EQ,S33_FA_EU_FR,EU_EQ,OEP,25,37539.5236647897
verisk,EU_EQ,S33_FA_EU_FR,EU_EQ,OEP,50,254473.676464063
verisk,EU_EQ,S33_FA_EU_FR,EU_EQ,OEP,100,610008.265491548
verisk,EU_EQ,S33_FA_EU_FR,EU_EQ,OEP,200,1081910.33244973
verisk,EU_EQ,S33_FA_EU_FR,EU_EQ,OEP,250,1283497.61880713
verisk,EU_EQ,S33_FA_EU_FR,EU_EQ,OEP,500,2522288.98964553
verisk,EU_EQ,S33_FA_EU_FR,EU_EQ,OEP,1000,5244114.35389817
verisk,EU_EQ,S33_FA_EU_NL,EU_EQ,AAL,0,1960.63026243464
verisk,EU_EQ,S33_FA_EU_NL,EU_EQ,AEP,2,0.0
verisk,EU_EQ,S33_FA_EU_NL,EU_EQ,AEP,5,0.0
verisk,EU_EQ,S33_FA_EU_NL,EU_EQ,AEP,10,0.0
verisk,EU_EQ,S33_FA_EU_NL,EU_EQ,AEP,20,0.0
verisk,EU_EQ,S33_FA_EU_NL,EU_EQ,AEP,25,0.0
verisk,EU_EQ,S33_FA_EU_NL,EU_EQ,AEP,50,3096.74417974285
