vendor,analysis_id,modelled_label,peril_id,lob_id
verisk,EU_EQ,EU_EQ,1,
verisk,EU_FL,EU_FL,2,
verisk,EU_WS,EU_WS,3,
verisk,EU_WS_GCAdj,EU_WS_GCAdj,3,
verisk,UK_FL,UK_FL,4,
verisk,UK_WSSS,UK_WSSS,5,
verisk,UK_WSSS_GCAdj,UK_WSSS_GCAdj,5,
risklink,1,EU FL HD,2,38
risklink,2,EUxESGB EQ Adj,1,38
risklink,3,GB FL HD,4,29
risklink,4,GB WSSS,5,29
risklink,5,EUxESGB EQ Adj,1,8
risklink,6,GB FL HD,4,8
risklink,7,EU FL HD,2,17
risklink,8,GB FL HD,4,17
risklink,9,GB FL HD,4,31
risklink,10,GB WSSS,5,3
risklink,11,DE FL,2,54
risklink,12,EUxGB WS CVV (FlrArea),3,54
risklink,13,EUxGB WS,3,16
risklink,14,DE FL,2,44
risklink,15,GB WSSS (FlrArea),5,25
risklink,16,EUxESGB EQ Adj,1,21
risklink,17,GB FL,4,41
risklink,18,GB FL HD,4,41
risklink,19,DE FL,2,39
risklink,20,EUxGB WS CVV,3,39
risklink,21,EU FL HD,2,62
risklink,22,GB FL HD,4,11
risklink,23,DE FL,2,7
risklink,24,EUxGB WS,3,7
risklink,25,EU FL HD,2,42
risklink,26,EUxESGB EQ Adj,1,14
risklink,27,GB WSSS,5,14
risklink,28,EU FL HD,2,6
risklink,29,BE FL,2,37
risklink,30,GB FL,4,37
risklink,31,EUxGB WS,3,13
risklink,32,EUxESGB EQ,1,58
risklink,33,EUxESGB EQ Adj,1,15
risklink,34,EUxESGB EQ Adj,1,24
risklink,35,EUxGB WS,3,24
risklink,36,EUxESGB EQ,1,26
risklink,37,EUxESGB EQ Adj,1,26
risklink,38,EUxESGB EQ,1,4
risklink,39,GB FL HD,4,10
risklink,40,EUxESGB EQ,1,32
risklink,41,EUxGB WS CVV,3,32
risklink,42,EUxESGB EQ,1,43
risklink,43,EUxGB WS CVV,3,43
risklink,44,EUxESGB EQ Adj,1,47
risklink,45,EUxESGB EQ Adj,1,55
risklink,46,EUxESGB EQ Adj,1,20
risklink,47,EUxGB WS,3,20
