class,office,office_iso2,forecast_date,forecast_factor
COMM,Belgium,BE,1/1/2026,1
COMM,France,FR,1/1/2026,0.989498298
COMM,Germany,DE,1/1/2026,1.121474242
COMM,Ireland,IE,1/1/2026,1.011351118
COMM,Netherlands,NL,1/1/2026,1
COMM,Portugal,PT,1/1/2026,1
COMM,Spain,ES,1/1/2026,0.877735849
FA,Belgium,BE,1/1/2026,1.017508132
FA,France,FR,1/1/2026,0.914690496
FA,Germany,DE,1/1/2026,0.973028935
FA,Ireland,IE,1/1/2026,0.97718021
FA,Netherlands,NL,1/1/2026,1.109179078
FA,Portugal,PT,1/1/2026,0.981756004
FA,Spain,ES,1/1/2026,1.013806333
HH,Belgium,BE,1/1/2026,0.99311024
HH,France,FR,1/1/2026,1.045551368
HH,Germany,DE,1/1/2026,1.010590002
HH,Ireland,IE,1/1/2026,1.521904241
HH,Netherlands,NL,1/1/2026,1.026284002
HH,Portugal,PT,1/1/2026,0.839564376
HH,Spain,ES,1/1/2026,1.033139344
HH,UK,UK,1/1/2026,1.0215
COMM,UK,UK,1/1/2026,1.0625
Pen,Pen,Pen,1/1/2026,0
Cherish,Cherish,Cherish,1/1/2026,0.6
Caravans,Caravans,Caravans,1/1/2026,0.6
COMM,Belgium,BE,7/1/2026,1
COMM,France,FR,7/1/2026,0.967669385
COMM,Germany,DE,7/1/2026,1.419738354
COMM,Ireland,IE,7/1/2026,1.023436634
COMM,Netherlands,NL,7/1/2026,1
COMM,Portugal,PT,7/1/2026,1
COMM,Spain,ES,7/1/2026,0
FA,Belgium,BE,7/1/2026,1.021436977
FA,France,FR,7/1/2026,0.962770101
FA,Germany,DE,7/1/2026,0.980692454
FA,Ireland,IE,7/1/2026,0.996438077
FA,Netherlands,NL,7/1/2026,1.132387864
FA,Portugal,PT,7/1/2026,1.05867086
FA,Spain,ES,7/1/2026,1.008624709
HH,Belgium,BE,7/1/2026,0.976897011
HH,France,FR,7/1/2026,1.093038897
HH,Germany,DE,7/1/2026,1.016579786
HH,Ireland,IE,7/1/2026,2.313073881
HH,Netherlands,NL,7/1/2026,1.038218444
HH,Portugal,PT,7/1/2026,0.737730061
HH,Spain,ES,7/1/2026,1.064511678
HH,UK,UK,7/1/2026,1.043
COMM,UK,UK,7/1/2026,1.125
Pen,Pen,Pen,7/1/2026,1
Cherish,Cherish,Cherish,7/1/2026,1
Caravans,Caravans,Caravans,7/1/2026,1
COMM,Belgium,BE,12/31/2026,1
COMM,France,FR,12/31/2026,0.858784092
COMM,Germany,DE,12/31/2026,1.584805512
COMM,Ireland,IE,12/31/2026,1.040069004
COMM,Netherlands,NL,12/31/2026,1
COMM,Portugal,PT,12/31/2026,1
COMM,Spain,ES,12/31/2026,0
FA,Belgium,BE,12/31/2026,1.030377132
FA,France,FR,12/31/2026,1.091918376
FA,Germany,DE,12/31/2026,0.997108331
FA,Ireland,IE,12/31/2026,1.015617661
FA,Netherlands,NL,12/31/2026,1.183927467
FA,Portugal,PT,12/31/2026,1.22839346
FA,Spain,ES,12/31/2026,1.005128205
HH,Belgium,BE,12/31/2026,0.987199478
HH,France,FR,12/31/2026,1.118675345
HH,Germany,DE,12/31/2026,1.035891196
HH,Ireland,IE,12/31/2026,3.142110444
HH,Netherlands,NL,12/31/2026,1.050153629
HH,Portugal,PT,12/31/2026,0.760630687
HH,Spain,ES,12/31/2026,1.102568066
HH,UK,UK,12/31/2026,1.0645
COMM,UK,UK,12/31/2026,1.1875
Pen,Pen,Pen,12/31/2026,3
Cherish,Cherish,Cherish,12/31/2026,1
Caravans,Caravans,Caravans,12/31/2026,1
