ModelEventID,OccYear,Factor
410024195,1847,1
410024408,1863,1
410024474,1868,1
410025644,1956,1
410026476,2018,1
410123835,9312,1
410124370,9354,1
410125385,9428,1
410125640,9445,1
410125823,9459,1
410126365,9499,1
410126731,9527,1
410126905,9539,1
410127156,9557,1
410105858,7972,1
410106045,7988,1
410106201,8000,1
410107149,8070,1
410109103,8214,1
410109260,8227,1
410109277,8228,1
410109379,8235,1
410109405,8237,1
410109640,8254,1
410109885,8272,1
410110231,8296,1
410110880,8344,1
410111289,8375,1
410111830,8415,1
410112244,8447,1
410112462,8462,1
410112540,8468,1
410113505,8539,1
410113898,8569,1
410114080,8584,1
410114700,8631,1
410115406,8685,1
410028254,2149,1
410029724,2259,1
410030308,2305,1
410030908,2349,1
410115502,8693,1
410115635,8701,1
410116230,8745,1
410116272,8748,1
410116838,8792,1
410117214,8822,1
410117504,8846,1
410117546,8848,1
410117758,8865,1
410072852,5513,1
410074668,5649,1
410054224,4099,1
410054347,4107,1
410054894,4148,1
410055511,4193,1
410055979,4227,1
410056042,4231,1
410056048,4232,1
410056404,4258,1
410056863,4291,1
410057553,4345,1
410057882,4372,1
410058134,4390,1
410058459,4415,1
410058551,4424,1
410106264,8006,1
410106720,8037,1
410106806,8043,1
410106884,8049,1
410109931,8276,1
410110432,8308,1
410110942,8348,1
410112460,8462,1
410080631,6097,1
410083461,6313,1
410083645,6326,1
410084012,6355,1
410084877,6417,1
410086273,6524,1
410086480,6539,1
410087328,6600,1
410087801,6636,1
410120369,9055,1
410059260,4475,1
410059347,4482,1
410059605,4502,1
410060507,4568,1
410061284,4629,1
410061957,4682,1
410062012,4686,1
410062188,4701,1
410062405,4717,1
410062449,4720,1
410062485,4723,1
410062838,4751,1
410066031,4987,1
410067085,5068,1
410068480,5172,1
410068538,5177,1
410070038,5294,1
410070211,5306,1
410070471,5325,1
410071837,5436,1
410054854,4144,1
410055551,4197,1
410056828,4288,1
410120998,9101,1
410121076,9107,1
410121674,9150,1
410123467,9285,1
410123627,9297,1
410124873,9391,1
410124981,9398,1
410126135,9483,1
410001248,96,1
410001750,132,0
410002039,151,1
410002504,185,0
410002476,183,1
410003085,228,1
410004746,361,1
410005626,428,1
410007434,564,1
410039192,2977,1
410039405,2989,1
410040135,3043,1
410040933,3101,1
410041227,3124,1
410041887,3171,1
410042107,3189,1
410043499,3288,1
410045378,3430,0
410132849,9973,1
410132884,9975,1
410054243,4101,1
410056366,4255,1
410056635,4273,1
410057200,4318,1
410058352,4408,1
410058636,4430,1
410059949,4529,1
410060141,4542,1
410060176,4544,1
410060540,4570,1
410060915,4599,1
410062455,4720,1
410062573,4731,1
410084686,6403,1
410085142,6436,1
410085579,6471,1
410087218,6593,1
410072618,5496,1
410073717,5578,1
410073848,5588,1
410074474,5635,1
410075230,5691,1
410076840,5813,1
410077289,5847,1
410077383,5853,1
410077491,5860,1
410077535,5864,1
410077965,5896,1
410078551,5939,1
410079186,5987,1
410079360,6000,1
410080675,6100,1
410080679,6100,1
410080839,6111,1
410081792,6183,1
410082812,6262,1
410083474,6313,1
410084707,6404,1
410086083,6509,1
410086245,6522,1
410087273,6596,1
410092817,7004,1
410092876,7009,1
410093019,7017,1
410093130,7027,1
410093504,7054,1
410093592,7062,1
410093606,7063,1
410084702,6404,1
410084946,6422,1
410085640,6477,1
410085841,6491,1
410085936,6499,1
410086431,6536,1
410086856,6567,1
410087702,6628,1
410089252,6746,1
410089610,6773,1
410090079,6808,1
410092498,6981,1
410060244,4550,1
410061074,4611,1
410061330,4632,1
410061892,4677,1
410062271,4708,1
410062322,4711,1
410063074,4769,1
410063215,4779,1
410063608,4808,1
410064058,4840,1
410064592,4881,1
410065235,4928,1
410066055,4989,1
410066611,5032,1
410073522,5564,1
410073558,5567,1
410073898,5591,1
410074000,5600,1
410074391,5629,1
410074646,5647,1
410074730,5654,1
410075139,5685,1
410075734,5729,1
410075921,5743,1
410019895,1525,1
410020241,1553,1
410021003,1604,1
410023517,1797,1
410024993,1905,1
410025129,1917,1
410027041,2065,1
410027465,2094,1
410027750,2113,1
410027844,2119,1
410029045,2210,1
410029114,2215,1
410030101,2289,1
410031183,2373,1
410031564,2400,1
410002424,179,1
410002814,207,1
410116495,8766,1
410116641,8777,1
410117592,8852,1
410117900,8874,1
410092377,6971,1
410092850,7007,1
410092872,7009,1
410092881,7009,1
410093502,7054,1
410094526,7131,1
410094895,7159,1
410095019,7167,1
410095511,7205,1
410095757,7222,1
410096671,7291,1
410096866,7304,1
410096908,7307,1
410097288,7337,1
410061324,4631,1
410061668,4659,1
410062462,4721,1
410065442,4945,1
410065824,4973,1
410066008,4985,1
410066137,4996,1
410066179,4999,1
410089128,6736,1
410089241,6745,1
410091016,6873,1
410091194,6886,1
410091339,6897,1
410092907,7010,1
410093701,7070,1
410106810,8043,1
410107623,8103,0
410109262,8227,1
410109827,8268,1
410110495,8313,1
410112571,8470,1
410113081,8509,1
410053867,4072,1
410054517,4120,1
410055165,4168,1
410056079,4234,1
410056148,4239,1
410057100,4312,1
410057446,4337,1
410058749,4438,1
410059911,4526,1
410060559,4571,1
410061338,4633,1
410061413,4639,1
410061490,4646,1
410062422,4718,1
410063305,4786,1
410048119,3634,1
410048293,3649,1
410048629,3675,1
410049922,3774,1
410051041,3859,1
410051368,3884,1
410051895,3922,1
410052119,3941,1
410052754,3993,1
410053425,4041,1
410055283,4176,1
410028679,2182,1
410028697,2182,1
410029428,2239,1
410029770,2262,1
410029821,2266,1
410031116,2367,1
410082459,6235,1
410082545,6242,1
410084097,6361,1
410084739,6407,1
410086531,6543,1
410088100,6657,1
410088454,6684,1
410075254,5693,1
410075296,5696,1
410075481,5710,1
410076341,5772,0
410076413,5779,1
410078411,5929,1
410078574,5940,1
410078814,5960,1
410080411,6079,1
410080958,6119,1
410081326,6150,1
410013654,1047,1
410013784,1058,1
410014754,1131,1
410016309,1253,1
410017096,1315,1
410017819,1372,1
410020209,1550,1
410020305,1556,1
410020384,1562,1
410020995,1604,0
410022091,1687,1
410022194,1695,1
410023767,1814,1
410023821,1818,1
410025926,1978,1
410026559,2024,1
410026802,2044,1
410026965,2057,0
410038788,2944,1
410039510,2997,1
410040092,3039,1
410040445,3065,1
410040582,3075,1
410040747,3089,1
410041038,3109,1
410041312,3129,1
410041509,3143,1
410042995,3253,1
410044104,3335,1
410044146,3337,1
410044258,3346,1
410044817,3388,1
410044991,3402,1
410045375,3429,1
410045694,3453,1
410122147,9186,1
410123306,9273,1
410123928,9320,1
410124355,9352,1
410124859,9390,1
410125384,9428,1
410126069,9479,1
410127161,9558,1
410129593,9733,1
410130267,9784,1
410130568,9809,1
410131364,9865,1
410132020,9914,1
410126698,9525,1
410127048,9548,1
410065349,4938,1
410066971,5058,1
410067146,5074,1
410067237,5080,1
410069544,5254,1
410070900,5359,1
410070955,5365,1
410050445,3813,1
410050452,3813,1
410052357,3963,1
410054398,4111,1
410054519,4121,1
410054659,4130,1
410054836,4144,1
410055880,4220,1
410056118,4237,1
410113732,8556,0
410113767,8559,1
410114932,8647,1
410010946,833,1
410011102,845,1
410011421,869,1
410012534,957,1
410013118,1003,1
410098747,7447,1
410099177,7480,1
410100484,7581,1
410100560,7586,1
410100704,7597,1
410100818,7605,1
410100933,7613,1
410101240,7637,1
410102134,7704,0
410103139,7774,1
410103249,7781,1
410103337,7786,1
410103575,7807,1
410104257,7854,1
410105680,7960,1
410105993,7983,1
410106741,8038,1
410119195,8967,1
410120693,9076,1
410120737,9080,1
410132113,9920,1
410132680,9960,1
410132743,9965,1
410074843,5662,1
410074856,5664,1
410075174,5687,1
410076159,5759,1
410077033,5826,1
410078790,5957,1
410078981,5970,1
410079130,5983,1
410079476,6009,1
410017515,1348,1
410017629,1358,1
410017648,1359,1
410017989,1384,1
410048248,3645,1
410101168,7631,1
410103896,7829,1
410105020,7909,1
410105035,7910,1
410105044,7911,1
410105264,7926,1
410106090,7991,1
410106244,8005,1
410106395,8015,1
410071905,5440,0
410072397,5480,1
410072647,5499,1
410074764,5656,0
410000231,18,1
410000843,65,1
410001341,102,1
410001360,104,1
410019171,1471,1
410019402,1488,1
410020352,1560,1
410020469,1568,1
410020552,1575,1
410020802,1590,1
410021054,1609,1
410021290,1625,1
410021775,1664,1
410021788,1665,1
410022011,1682,1
410022117,1689,1
410022368,1708,1
410022410,1712,1
410023498,1796,1
410023617,1805,1
410024028,1833,1
410026046,1986,1
410026974,2058,1
410027040,2065,1
410027078,2067,1
410027417,2092,1
410019805,1519,1
410019949,1529,1
410020857,1595,1
410021019,1606,1
410021357,1631,1
410021875,1672,1
410021980,1679,1
410023262,1779,1
410023502,1796,1
410000918,72,1
410001018,79,1
410001156,89,1
410002494,184,1
410002929,217,1
410002937,217,1
410072152,5460,1
410019974,1532,1
410023053,1761,1
410023060,1762,1
410023133,1768,1
410024193,1846,1
410025104,1916,1
410025325,1932,1
410003028,223,1
410003723,279,0
410004773,363,1
410004990,379,1
410006636,504,1
410007472,567,1
410007481,568,1
410008154,618,1
410008887,675,1
410010114,768,0
410010121,768,1
410010700,814,1
410012732,973,1
410015476,1187,1
410125620,9444,1
410126283,9495,1
410127266,9565,0
410127719,9600,1
410128488,9653,1
410128735,9671,1
410128826,9677,1
410129014,9692,1
410129108,9698,1
410129204,9706,1
410129429,9721,1
410129950,9760,1
410130199,9780,1
410130496,9803,1
410130515,9805,1
410131022,9842,1
410132253,9930,1
410056796,4285,1
410057015,4305,1
410058199,4395,1
410058679,4433,1
410058687,4433,1
410059407,4487,1
410059844,4522,1
410060022,4533,1
410003141,234,1
410003605,269,1
410004539,344,1
410004756,362,1
410005073,385,1
410005160,392,1
410005322,403,1
410089145,6738,1
410091677,6919,1
410092895,7010,1
410093698,7070,1
410094172,7106,1
410130293,9786,1
410130474,9801,1
410130615,9811,1
410132417,9942,1
410132669,9960,1
410132686,9960,1
410132725,9964,1
410022147,1691,1
410022442,1715,1
410022573,1725,1
410023310,1782,1
410024765,1891,1
410026041,1986,1
410026145,1995,1
410026282,2005,1
410027259,2080,1
410028317,2153,1
410028710,2184,1
410029505,2244,1
410030290,2303,1
410032062,2437,1
410032297,2456,1
410033154,2521,1
410033379,2538,1
410033744,2566,1
410035300,2683,1
410035856,2722,1
410103941,7833,1
410104879,7898,1
410073732,5579,1
410074793,5658,1
410075194,5689,1
410075448,5708,1
410077099,5832,1
410077267,5845,1
410077635,5870,1
410079886,6037,1
410081962,6196,0
410082167,6210,1
410082432,6232,0
410003540,264,1
410004094,308,1
410004657,355,1
410004752,361,1
410004966,377,1
410007178,544,1
410007206,546,1
410007298,553,1
410008357,634,1
410054453,4115,1
410054694,4133,1
410054798,4141,1
410053572,4050,1
410053943,4078,1
410109376,8235,1
410111548,8394,1
410113511,8539,0
410113768,8560,1
410114110,8585,1
410114688,8630,1
410115558,8696,1
410116159,8740,1
410116644,8777,1
410077490,5860,1
410077594,5868,1
410077608,5869,1
410077659,5872,1
410009805,744,1
410010229,778,1
410010744,816,1
410012688,969,1
410012759,976,1
410013631,1045,1
410014020,1076,1
410013973,1073,1
410014920,1145,1
410015627,1200,1
410016137,1240,1
410016275,1251,1
410019040,1462,1
410019559,1500,1
410103949,7834,1
410104178,7850,1
410104352,7860,1
410104625,7880,1
410105280,7927,1
410105534,7948,1
410105619,7956,1
410106131,7994,1
410106243,8005,1
410106615,8031,1
410106729,8037,1
410106735,8038,1
410107197,8074,1
410108113,8138,1
410108241,8149,1
410108446,8165,1
410108739,8189,1
410110011,8281,1
410000544,45,1
