id,blend_set_id,region_peril_id,region_peril,sub_region_peril_id,sub_region_peril,air_blend,rms_blend,kat_risk_blend
1,1,322,Australia Convective Storm,322a,[NULL],0.5,0.5,0
2,1,212,Australia Cyclone,212a,[NULL],0.5,0.5,0
3,1,207,Australia Earthquake,207a,[NULL],0.5,0.5,0
4,1,200,Caribbean Earthquake,200a,[NULL],0.5,0.5,0
5,1,325,China Earthquake,325a,[NULL],0.5,0.5,0
6,1,320,Europe Convective Storm,320a,[NULL],1,0,0
7,1,205,Europe Earthquake,205a,[NULL],0.5,0.5,0
8,1,216,Europe Flood,216a,All Other xDExBE,1,0,0
9,1,216,Europe Flood,216b,Germany Flood,0.5,0.5,0
10,1,216,Europe Flood,216c,Belgium Flood,0,1,0
11,1,206,Europe Winter Storm,206a,[NULL],0,1,0
12,1,199,Hawaii Earthquake,199a,[NULL],0.5,0.5,0
13,1,202,Hawaii Tropical Cyclone,202a,[NULL],0.5,0.5,0
14,1,321,India Earthquake,321a,[NULL],0.5,0.5,0
15,1,323,India Flood,323a,[NULL],0.5,0.5,0
16,1,211,Japan & SE Asia Typhoon,211a,Japan,1,0,0
17,1,211,Japan & SE Asia Typhoon,211b,xJapan,0.5,0.5,0
18,1,208,Japan Earthquake,208a,[NULL],0.7,0.3,0
19,1,214,Mexico Earthquake,214a,[NULL],0.5,0.5,0
20,1,209,New Zealand Earthquake,209a,[NULL],0.5,0.5,0
21,1,215,South/Central America Earthquake,215a,[NULL],0.5,0.5,0
22,1,210,Southeast Asia Earthquake,210a,[NULL],0.5,0.5,0
23,1,213,Southeast Asia Typhoon,213a,[NULL],1,0,0
24,1,217,UK Flood,217a,[NULL],0,1,0
25,1,201,US & Canada Convective Storm,201a,[NULL],0.5,0.5,0
26,1,198,US & Canada Earthquake,198a,[NULL],0.25,0.75,0
27,1,204,US & Canada Winterstorm,204a,[NULL],0.5,0.5,0
28,1,203,US & Caribbean Hurricane,203a,[NULL],0.5,0.5,0
29,1,231,US Inland Flood,231a,[NULL],0,0,0
30,1,311,US Wildfire,311a,[NULL],1,0,0
