ID, Segment , LOB , RegionPeril , AAL , STD ,OEP_2,OEP_5,OEP_10,OEP_20,OEP_25,OEP_50,OEP_100,OEP_200,OEP_250,OEP_500,OEP_1000,OEP_10000,AEP_2,AEP_5,AEP_10,AEP_20,AEP_25,AEP_50,AEP_100,AEP_200,AEP_250,AEP_500,AEP_1000,AEP_10000
1, HIC_COMM_UK-EU FL HD , HIC_COMM_UK , EU FL HD , 8 , 859 , 5 , 5 , 5 , 5 , 5 , 5 , 5 , 5 , 5 , 5 , 54 ," 8,498 ",                       -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   ,                           -   ,                           -   ,                           -   , 54 ," 11,376 "
2, HIC_COMM_UK-EUxESGB EQ Adj , HIC_COMM_UK , EUxESGB EQ Adj , 9 , 816 ,                       -   ,                       -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   ,                           -   ,                           -   ,                           -   , 3 ," 26,285 ",                       -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   ,                           -   ,                           -   ,                           -   , 3 ," 26,288 "
3, HIC_HH_UK-GB FL HD , HIC_HH_UK , GB FL HD ," 1,806,464 "," 5,190,565 "," 321,433 "," 1,662,038 "," 3,614,765 "," 6,562,101 "," 7,816,145 "," 12,665,230 "," 19,365,339 "," 29,108,147 "," 34,360,948 "," 47,469,695 "," 62,873,626 "," 123,895,468 "," 394,922 "," 2,085,058 "," 4,377,372 "," 7,694,162 "," 8,978,776 "," 14,114,050 "," 21,112,263 "," 31,420,184 "," 36,084,219 "," 49,469,296 "," 65,713,616 "," 127,401,397 "
4, HIC_HH_UK-GB WSSS , HIC_HH_UK , GB WSSS ," 10,775,338 "," 19,441,076 "," 3,012,164 "," 8,192,712 "," 14,372,794 "," 24,133,670 "," 28,846,515 "," 50,181,746 "," 81,040,832 "," 125,544,224 "," 141,687,901 "," 190,667,382 "," 235,118,461 "," 351,932,215 "," 5,882,899 "," 13,796,268 "," 21,751,630 "," 33,191,155 "," 38,249,264 "," 59,935,136 "," 91,608,880 "," 136,406,296 "," 152,583,631 "," 201,951,301 "," 247,038,005 "," 367,378,982 "
5, HIG_FA_GU-EUxESGB EQ Adj , HIG_FA_GU , EUxESGB EQ Adj ," 167,884 "," 1,067,543 ", 118 ," 19,989 "," 141,794 "," 559,964 "," 798,655 "," 1,952,714 "," 3,784,444 "," 6,467,380 "," 7,464,717 "," 10,883,946 "," 14,688,030 "," 29,778,889 "," 2,491 "," 23,055 "," 150,996 "," 584,074 "," 829,734 "," 2,008,889 "," 3,876,038 "," 6,588,378 "," 7,594,704 "," 11,043,729 "," 14,877,215 "," 30,041,478 "
6, HIG_FA_GU-GB FL HD , HIG_FA_GU , GB FL HD ," 19,601 "," 211,915 ", -   , -   , 56 ," 20,454 "," 47,435 "," 199,983 "," 422,245 "," 757,447 "," 896,502 "," 1,814,576 "," 3,054,931 "," 7,887,573 ",                       -   ,                         -   , 132 ," 20,508 "," 47,888 "," 203,290 "," 434,151 "," 764,148 "," 912,239 "," 1,814,417 "," 3,087,766 "," 8,539,374 "
7, HIG_FA_GU_QS-EU FL HD , HIG_FA_GU_QS , EU FL HD ," 10,463 "," 208,849 ", -   , -   , -   , -   , 1 ," 4,775 "," 55,448 "," 318,465 "," 503,035 "," 1,546,649 "," 2,650,722 "," 10,248,714 ",                       -   ,                         -   ,                         -   ,                         -   , 25 ," 4,771 "," 55,377 "," 317,751 "," 503,981 "," 1,556,560 "," 2,660,067 "," 10,988,275 "
8, HIG_FA_GU_QS-GB FL HD , HIG_FA_GU_QS , GB FL HD ," 2,228 "," 52,159 ", -   , -   , -   , -   , -   , 255 ," 9,592 "," 63,284 "," 96,690 "," 274,434 "," 525,410 "," 1,773,829 ",                       -   ,                         -   ,                         -   ,                         -   ,                         -   , 258 ," 9,633 "," 63,371 "," 97,104 "," 276,235 "," 528,564 "," 2,286,380 "
9, HIG_FA_GU_SRP-GB FL HD , HIG_FA_GU_SRP , GB FL HD , 882 ," 39,825 ", -   , -   , -   , -   , -   , -   , -   , 29 , 271 ," 10,737 "," 67,346 "," 2,067,454 ",                       -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   , 41 , 271 ," 10,842 "," 68,340 "," 2,682,147 "
10, HIG_HH_GU-GB WSSS , HIG_HH_GU , GB WSSS ," 12,730 "," 66,028 "," 3,223 "," 10,135 "," 19,769 "," 33,435 "," 38,770 "," 59,163 "," 88,149 "," 132,132 "," 150,980 "," 228,037 "," 334,183 "," 964,254 "," 10,115 "," 20,035 "," 31,513 "," 46,967 "," 52,871 "," 74,934 "," 105,213 "," 149,817 "," 168,699 "," 245,640 "," 351,711 "," 983,002 "
